"Step","train_75_AR5 - val_loss_unroll1_step","train_75_AR5 - val_loss_unroll1_step__MIN","train_75_AR5 - val_loss_unroll1_step__MAX","train_75 - val_loss_unroll1_step","train_75 - val_loss_unroll1_step__MIN","train_75 - val_loss_unroll1_step__MAX"
"1888","0.00005260722537059337","0.00005260722537059337","0.00005260722537059337","","",""
"1889","0.00004160742537351325","0.00004160742537351325","0.00004160742537351325","","",""
"1891","0.00002830690391419921","0.00002830690391419921","0.00002830690391419921","","",""
"1892","0.00002626549030537717","0.00002626549030537717","0.00002626549030537717","","",""
"1893","0.000021412810383480974","0.000021412810383480974","0.000021412810383480974","","",""
"1895","0.000019674067516461946","0.000019674067516461946","0.000019674067516461946","","",""
"1896","0.00001832776797527913","0.00001832776797527913","0.00001832776797527913","","",""
"1897","0.000017777256289264187","0.000017777256289264187","0.000017777256289264187","0.000013136565030436032","0.000013136565030436032","0.000013136565030436032"
"1898","","","","0.000009532596777717117","0.000009532596777717117","0.000009532596777717117"
"1899","0.00001885179699456785","0.00001885179699456785","0.00001885179699456785","","",""
"1900","","","","0.00000816145256976597","0.00000816145256976597","0.00000816145256976597"
"1901","","","","0.000007909742635092698","0.000007909742635092698","0.000007909742635092698"
"1902","0.000018910413928097114","0.000018910413928097114","0.000018910413928097114","0.000007438021384587046","0.000007438021384587046","0.000007438021384587046"
"1904","0.000019069648260483518","0.000019069648260483518","0.000019069648260483518","0.000007237894351419527","0.000007237894351419527","0.000007237894351419527"
"1905","0.000018420683773001656","0.000018420683773001656","0.000018420683773001656","0.000006864595889055636","0.000006864595889055636","0.000006864595889055636"
"1906","0.000019364913896424696","0.000019364913896424696","0.000019364913896424696","0.000006964929070818471","0.000006964929070818471","0.000006964929070818471"
"1907","0.00001883201730379369","0.00001883201730379369","0.00001883201730379369","","",""
"1908","0.000018830265616998076","0.000018830265616998076","0.000018830265616998076","0.000007088177426339826","0.000007088177426339826","0.000007088177426339826"
"1909","0.000018986507711815648","0.000018986507711815648","0.000018986507711815648","","",""
"1911","","","","0.000007165473107306752","0.000007165473107306752","0.000007165473107306752"
"1913","0.000019455210349406116","0.000019455210349406116","0.000019455210349406116","0.0000075401180765766185","0.0000075401180765766185","0.0000075401180765766185"
"1914","0.00001919035094033461","0.00001919035094033461","0.00001919035094033461","0.0000070093574322527274","0.0000070093574322527274","0.0000070093574322527274"
"1915","0.000021003779693273827","0.000021003779693273827","0.000021003779693273827","0.000007634630492248107","0.000007634630492248107","0.000007634630492248107"
"1916","0.00002038790626102127","0.00002038790626102127","0.00002038790626102127","0.000007329831987590296","0.000007329831987590296","0.000007329831987590296"
"1917","","","","0.000006995638614171185","0.000006995638614171185","0.000006995638614171185"
"1918","","","","0.0000074332519943709485","0.0000074332519943709485","0.0000074332519943709485"
"1919","0.000026208874260191806","0.000026208874260191806","0.000026208874260191806","","",""
"1921","0.000032808671676320955","0.000032808671676320955","0.000032808671676320955","","",""
"1922","0.000035415912861935794","0.000035415912861935794","0.000035415912861935794","0.000006862288500997238","0.000006862288500997238","0.000006862288500997238"
